experiment_dir,run_dir,suite,engine,model_label,threads,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trial,prompt_id,category,mandatory,prompt_text,status,error,ttft_s,tpot_s,total_s,output_token_events,throughput_output_tok_s,generated_text
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,1,long_memory_bound_reasoning,long,False,"Consider a transformer decoder running autoregressive inference. During each decode step, the model consumes the previous token, reads model weights, performs matrix-vector operations, updates attention state, samples the next token, and streams it back to the user. On a CPU-only node, the arithmetic units may be capable of more operations per second than the memory subsystem can feed when the batch size is small. This means the model can become memory-bandwidth bound: the time per output token is dominated by moving weights and intermediate data rather than by floating-point arithmetic alone. Quantisation reduces the number of bytes used for weights and sometimes for the KV cache, but it can add dequantisation work or reduce kernel efficiency. Threading can improve throughput until the memory channels are saturated, after which extra threads mostly add contention. Context length affects prefill and KV-cache memory, while decode length tests whether TPOT remains stable over time. Explain this performance story carefully. Identify which measurements would support or refute the claim that decoding is memory-bound, and describe how you would use throughput, TPOT, memory, CPU utilisation, and a predicted-versus-observed TPOT plot to justify the conclusion.",,HTTP Error 400: Bad Request,,,0.15693374098918866,0,0.0,
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,1,long_hpc_case_study,long,False,"A university research group wants to deploy local language model inference on a CPU-only HPC system. The cluster has separate ARM and x86 partitions, batch scheduling through SLURM, shared filesystems, and no GPU access for the assignment. The group selects llama.cpp because it supports GGUF models, HTTP serving, quantised weights, and configurable thread counts. They plan to benchmark three required report models: a mandatory Llama 3.1 8B Q4 model, a smaller TinyLlama 1.1B Q4 model, and a Qwen2.5 1.5B Q4 model. They may also run optional appendix experiments with GPT-OSS 20B Q4 and SmolLM2 360M Q4. They will measure TTFT, TPOT, throughput, memory high-water mark, CPU utilisation, and goodput against a latency SLA. The workload includes short factual prompts, medium explanatory prompts, and long context-heavy prompts. The team must compare model size, thread counts, context sizes, decode lengths, KV-cache modes, and concurrent requests. They also need to measure memory bandwidth using a STREAM-like triad and build a simple model that predicts a lower bound on TPOT from model size divided by bandwidth. Discuss how this team should structure the experiment, what pitfalls they must avoid, and how they should interpret results when observed TPOT is much larger than the bandwidth lower bound.",,HTTP Error 400: Bad Request,,,0.1583720789931249,0,0.0,
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,2,long_hpc_case_study,long,False,"A university research group wants to deploy local language model inference on a CPU-only HPC system. The cluster has separate ARM and x86 partitions, batch scheduling through SLURM, shared filesystems, and no GPU access for the assignment. The group selects llama.cpp because it supports GGUF models, HTTP serving, quantised weights, and configurable thread counts. They plan to benchmark three required report models: a mandatory Llama 3.1 8B Q4 model, a smaller TinyLlama 1.1B Q4 model, and a Qwen2.5 1.5B Q4 model. They may also run optional appendix experiments with GPT-OSS 20B Q4 and SmolLM2 360M Q4. They will measure TTFT, TPOT, throughput, memory high-water mark, CPU utilisation, and goodput against a latency SLA. The workload includes short factual prompts, medium explanatory prompts, and long context-heavy prompts. The team must compare model size, thread counts, context sizes, decode lengths, KV-cache modes, and concurrent requests. They also need to measure memory bandwidth using a STREAM-like triad and build a simple model that predicts a lower bound on TPOT from model size divided by bandwidth. Discuss how this team should structure the experiment, what pitfalls they must avoid, and how they should interpret results when observed TPOT is much larger than the bandwidth lower bound.",,HTTP Error 400: Bad Request,,,23.542154203998507,0,0.0,
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,2,long_memory_bound_reasoning,long,False,"Consider a transformer decoder running autoregressive inference. During each decode step, the model consumes the previous token, reads model weights, performs matrix-vector operations, updates attention state, samples the next token, and streams it back to the user. On a CPU-only node, the arithmetic units may be capable of more operations per second than the memory subsystem can feed when the batch size is small. This means the model can become memory-bandwidth bound: the time per output token is dominated by moving weights and intermediate data rather than by floating-point arithmetic alone. Quantisation reduces the number of bytes used for weights and sometimes for the KV cache, but it can add dequantisation work or reduce kernel efficiency. Threading can improve throughput until the memory channels are saturated, after which extra threads mostly add contention. Context length affects prefill and KV-cache memory, while decode length tests whether TPOT remains stable over time. Explain this performance story carefully. Identify which measurements would support or refute the claim that decoding is memory-bound, and describe how you would use throughput, TPOT, memory, CPU utilisation, and a predicted-versus-observed TPOT plot to justify the conclusion.",,HTTP Error 400: Bad Request,,,23.54199457100185,0,0.0,
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,1,mandatory_short_capital_france,short,True,What is the capital of France?,200,,0.15123081899946555,7.13969641449997,44.81558043000405,7,0.15619567866432224,The capital of France is Paris.
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,2,mandatory_short_capital_france,short,True,What is the capital of France?,200,,23.692227020990686,3.5179868073343337,46.51526837199344,7,0.15048822128724204,The capital of France is Paris.
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,3,mandatory_short_capital_france,short,True,What is the capital of France?,200,,13.812536124009057,2.2415709711664626,31.38925025500066,7,0.22300628218683946,The capital of France is Paris.
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,2,mandatory_long_transformer_cpu,long,True,"The transformer architecture, introduced in the paper ""Attention is All You Need"" by Vaswani et al. in 2017, has become the foundation for most modern large language models. Unlike recurrent neural networks, which process sequences sequentially, transformers process all tokens in parallel using self-attention mechanisms. This allows better parallelisation during training and has proven more effective at capturing long-range dependencies in text. When deploying transformers for inference on CPU, the main bottlenecks are the model's large memory footprint and the repeated loading of weights during the decoding phase. Based on this context, what are the main challenges when running large transformer models on CPU-only systems, and how might quantisation help address these challenges?",200,,23.68442010199942,2.168931696493594,195.030563177992,80,0.41019211910386105,"Based on the context provided, the main challenges when running large transformer models on CPU-only systems are:\n\n1.  **Large Memory Footprint**: The transformer model's large memory requirements can be a significant challenge when running on CPU-only systems, as they require a lot of memory to store the model's weights and other data structures.\n\n2.  **Repeated Loading of Weights**: The repeated loading of"
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,1,mandatory_long_transformer_cpu,long,True,"The transformer architecture, introduced in the paper ""Attention is All You Need"" by Vaswani et al. in 2017, has become the foundation for most modern large language models. Unlike recurrent neural networks, which process sequences sequentially, transformers process all tokens in parallel using self-attention mechanisms. This allows better parallelisation during training and has proven more effective at capturing long-range dependencies in text. When deploying transformers for inference on CPU, the main bottlenecks are the model's large memory footprint and the repeated loading of weights during the decoding phase. Based on this context, what are the main challenges when running large transformer models on CPU-only systems, and how might quantisation help address these challenges?",200,,23.69830685200577,2.1689211803164605,195.04381124000065,80,0.4101642574116864,"Based on the context provided, the main challenges when running large transformer models on CPU-only systems are:\n\n1.  **Large Memory Footprint**: The transformer model's large memory requirements can be a significant challenge when running on CPU-only systems, as they require a lot of memory to store the model's weights and other data structures.\n\n2.  **Repeated Loading of Weights**: The repeated loading of"
measurements/1256104-track-a1-server-sweep,measurements/1256104-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,model-1-mandatory,24,2048,16,turbo2,turbo2,128,2,medium_cpu_inference_pipeline,medium,False,"A team is deploying a quantised chat model on a CPU-only cluster node. The server accepts HTTP requests, tokenizes the prompt, evaluates the prompt, and then generates one token at a time. Explain the main stages of this inference pipeline, what TTFT and TPOT measure, and which parts of the pipeline are most sensitive to prompt length, output length, and thread count.",200,,23.68501523899613,2.1411743487244497,295.61466435300827,128,0.4329961109342965,"Based on the information provided, here are the main stages of the quantized chat model pipeline:\n\n1. **HTTP Request**: The server accepts HTTP requests from clients.\n2. **Tokenization**: The server tokenizes the input prompt into smaller, manageable chunks.\n3. **Evaluation**: The server evaluates each tokenized prompt.\n4. **Token Generation**: The server generates one token at a time.\n\nThe main stages of the pipeline are:\n\n1. **HTTP Request**: The server accepts HTTP requests from clients.\n2. **Tokenization**: The server tokenizes the input prompt into smaller chunks.\n3. **Evaluation**: The server evaluates each"
